"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","32.72","32.05","32.98","32.03","5.31K","1.65%"
"Dec 30, 2020","32.19","33.14","33.41","32.01","10.51K","-2.51%"
"Dec 29, 2020","33.02","33.31","33.42","32.60","9.51K","-1.26%"
"Dec 28, 2020","33.44","32.50","33.50","32.33","8.05K","3.88%"
"Dec 24, 2020","32.19","31.97","32.40","31.79","3.41K","0.85%"
"Dec 23, 2020","31.92","31.00","31.98","31.00","8.54K","2.47%"
"Dec 22, 2020","31.15","30.65","31.37","30.43","11.71K","0.84%"
"Dec 21, 2020","30.89","30.80","30.97","29.71","22.09K","-0.68%"
"Dec 18, 2020","31.10","32.00","32.00","30.78","14.85K","-2.69%"
"Dec 17, 2020","31.96","31.90","32.40","31.49","24.61K","0.57%"
"Dec 16, 2020","31.78","32.41","32.50","31.42","24.03K","-1.24%"
"Dec 15, 2020","32.18","31.00","32.40","30.92","23.87K","3.77%"
"Dec 14, 2020","31.01","30.50","31.68","30.50","25.13K","0.91%"
"Dec 11, 2020","30.73","31.11","31.54","30.52","23.96K","-1.25%"
"Dec 10, 2020","31.12","30.06","31.22","29.79","24.75K","4.05%"
"Dec 09, 2020","29.91","29.87","30.37","29.74","21.67K","0.47%"
"Dec 08, 2020","29.77","29.74","30.20","29.68","15.84K","-0.17%"
"Dec 07, 2020","29.82","30.20","30.20","29.63","12.48K","-1.62%"
"Dec 04, 2020","30.31","29.16","30.52","29.10","18.83K","3.80%"
"Dec 03, 2020","29.20","29.75","29.85","29.09","11.22K","-1.85%"
"Dec 02, 2020","29.75","29.20","29.85","28.76","18.50K","2.34%"
"Dec 01, 2020","29.07","29.42","30.19","28.95","23.93K","-0.92%"
"Nov 30, 2020","29.34","28.55","29.60","28.28","13.03K","3.57%"
"Nov 27, 2020","28.33","28.35","28.86","28.08","7.20K","0.14%"
"Nov 26, 2020","28.29","27.77","28.50","27.52","11.23K","1.80%"
"Nov 25, 2020","27.79","28.00","28.29","27.70","13.52K","0.00%"
"Nov 24, 2020","27.79","27.31","27.85","27.03","9.03K","1.39%"
"Nov 23, 2020","27.41","27.59","27.65","27.25","11.05K","1.93%"
"Nov 20, 2020","26.89","26.49","27.16","26.42","9.01K","1.51%"
"Nov 19, 2020","26.49","27.27","27.27","26.46","6.37K","-3.07%"
"Nov 18, 2020","27.33","27.27","28.25","27.27","7.84K","2.09%"
